Label_N;COREDE;CD_GEOCMU;IDESE_2013;POUPANCA;OP_CREDITO;OBRIGACOES _RECEBIMENTO;DEP_A_VISTA_PRIV;DEP_A_VISTA_GOV;DEP_PRAZO;COOP_CRED;CEF;BANCO_COM;N_VINCULOS_EMP;DENS_DEM_HABKM2;IMPOSTOS;AREA_KM2;PIB_PERC;PIB;POPULACAO
Dois Lajeados;Vale do Taquari;4306452;0,806825579;27648820;39084496;7954;1555044;788704;7999914;;;2;684;24,65285067;2980,852;133,372;21122,77;71880,796;3246
Doutor Ricardo;Vale do Taquari;4306759;0,799630992;;;;;;;;;;576;18,6013483;2865,762;108,433;22290,88;46409,607;1888
Encantado;Vale do Taquari;4306809;0,799229769;118265771;264284296;41953;26648752;417745;61192040;1;1;4;11431;150,531762;70513,274;139,16;28268,58;610855,817;21460
Estrela;Vale do Taquari;4307807;0,808569881;202271926;350975664;42303;34445351;1250116;58308197;;1;3;18356;169,6257927;148385,369;184,176;37041,85;1196785,087;32224
Fazenda Vilanova;Vale do Taquari;4308078;0,688378444;3475912;1756210;0;459637;148438;0;;;1;1512;46,60707126;13564,792;84,794;25708,52;102654,111;4105
Forquetinha;Vale do Taquari;4308433;0,666291009;;;;;;;;;;482;26,17291867;1389,537;93,57;14545,37;36901,601;2558
Ilópolis;Vale do Taquari;4310306;0,774556181;8623557;26543701;9438;2594648;437570;10228264;1;;2;743;35,13019291;4635,505;116,481;22200,32;93574,336;4054
Imigrante;Vale do Taquari;4310363;0,815687589;14675437;7400652;0;2326892;502931;3051222;;;2;1346;41,93249359;30733,069;73,356;53482,7;167668,252;3297
Lajeado;Vale do Taquari;4311403;0,82298653;435837208;835408974;92450;78238219;1074087;199531566;2;2;8;53376;822,2940047;411314,638;90,087;37863,62;2884715,783;77359
Marques de Souza;Vale do Taquari;4312054;0,68059369;;;;;;;;;;958;32,42634371;3754,058;125,176;15319,84;63975,658;4469
Muçum;Vale do Taquari;4312609;0,778130309;51815391;60497647;4411;1874729;33292;2987688;;1;1;2758;43,78995969;11314,245;110,893;32773,16;162882,613;4910
