Label_N;COREDE;CD_GEOCMU;IDESE_2013;POUPANCA;OP_CREDITO;OBRIGACOES _RECEBIMENTO;DEP_A_VISTA_PRIV;DEP_A_VISTA_GOV;DEP_PRAZO;COOP_CRED;CEF;BANCO_COM;N_VINCULOS_EMP;DENS_DEM_HABKM2;IMPOSTOS;AREA_KM2;PIB_PERC;PIB;POPULACAO
São José do Ouro;Nordeste;4318606;0,791582729;24589693;123318402;158877;5859413;354145;10054829;;;2;3011;20,64975177;12337,005;334,774;30676,65;218295,076;7234
Tapejara;Nordeste;4320909;0,794340102;89172274;357212603;240057;24161525;2532016;15427468;1;1;3;12741;85,37759948;92899,783;238,798;30018,14;627529,303;21131
Tupanci do Sul;Nordeste;4322186;0,748871545;;;;;;;;;;302;11,66413796;1637,381;135,115;24176,85;38634,613;1492
Vila Lângaro;Nordeste;4323358;0,778354601;;;;;;;;;;507;14,03674789;3198,716;152,172;39498,72;86976,172;2073
Ajuricaba;Noroeste Colonial;4300208;0,785470135;10097428;89098650;35621;4739225;1116209;2322985;;;2;1610;22,2281346;12668,813;323,239;27157,28;201506,993;7568
Augusto Pestana;Noroeste Colonial;4301503;0,822400587;12259719;173489412;127234;4433569;105052;5849940;1;;2;1768;20,02653703;16470,791;347,439;33083,24;238397,799;7035
Bozano;Noroeste Colonial;4302584;0,824542725;;;;;;;;;;251;10,90833122;2183,761;201,039;31730,55;71330,27;2201
Catuípe;Noroeste Colonial;4305009;0,756850229;26070171;123648306;308059;4685518;74008;6585106;;;2;1761;15,75460602;14767,043;583,258;28192,61;267181,365;9569
Condor;Noroeste Colonial;4305702;0,817264876;7027578;69952903;39784;2113946;907661;1126852;;;2;2357;14,29744533;15731,436;465,188;37303,91;253330,822;6050
Coronel Barros;Noroeste Colonial;4305871;0,766017501;;;;;;;;;;427;15,31153919;4733,969;162,949;33205,25;84540,576;2887
Ijuí;Noroeste Colonial;4310207;0,831690695;298596833;914435491;393091;76279088;2451879;97853258;2;2;8;34283;116,0820916;254276,372;689,133;33547,79;2760177,913;84203
Jóia;Noroeste Colonial;4311155;0,729480922;2344485;14906081;0;1199125;487961;0;;;1;1334;6,745784188;11106,536;1235,883;41888,92;361459,518;8404
Nova Ramada;Noroeste Colonial;4313334;0,809432939;;;;;;;;;;369;9,534650939;4652,454;254,755;35437,54;87388,976;2464
Panambi;Noroeste Colonial;4313904;0,783719341;113202248;488519985;119920;40846379;1620323;83323254;;1;5;22884;80,37371373;212549,877;490,857;39484,57;1596716,553;41131
Pejuçara;Noroeste Colonial;4314308;0,815092016;4964625;66625794;44186;2278926;368208;3608402;;;2;914;9,501761061;8244,003;414,239;48915,28;199085,203;4099
Aratiba;Norte;4300901;0,850637142;13550674;52877333;17146;2192313;864845;9187590;1;;2;1901;18,91948707;6357,307;342,504;111147,71;743244,712;6963
Áurea;Norte;4301552;0,70390812;11800441;64484529;19091;2918756;1123858;3570485;1;;2;481;23,07774921;3489,854;158,291;18816,19;70523,069;3770
Barão de Cotegipe;Norte;4301701;0,747488005;7051732;10720020;0;1407186;357362;0;1;;1;1735;25,26419381;9072,99;260,131;21407,84;144374,463;6777
Barra do Rio Azul;Norte;4301925;0,763161387;;;;;;;;;;172;13,13044128;730,209;147,139;18722,04;37313,035;1924
Benjamin Constant do Sul;Norte;4302055;0,638375924;;;;;;;;;;199;16,7226859;579,626;132,395;10257,55;23643,658;2345
Campinas do Sul;Norte;4303806;0,779277716;40345634;100322290;39753;3703779;276021;18054697;;1;2;1336;19,87963587;10014,499;276,162;31392,96;177621,393;5715
Carlos Gomes;Norte;4304853;0,738803732;;;;;;;;;;172;18,56773495;638,195;83,155;18350,9;29434,843;1609
Centenário;Norte;4305116;0,756438101;119804;1433652;0;16470;448089;0;;;1;285;21,81179326;1418,409;134,331;16468,13;49997,242;3047
Charrua;Norte;4305371;0,648537503;;;;;;;;;;313;17,16601724;2323,266;198,124;20095,64;70977,818;3386
Cruzaltense;Norte;4306130;0,775628935;;;;;;;;;;234;12,39790752;2584,454;166,883;28044,27;59902,561;2030
Entre Rios do Sul;Norte;4306957;0,764740976;3130865;5250397;0;1304655;32132;0;;;1;635;25,00249858;3053,636;120,068;71422,46;221981,01;2971
Erebango;Norte;4306973;0,699432915;2825800;5520015;0;493989;136214;0;;;1;564;19,53997466;2614,682;153,122;24632,56;75449,544;3093
Erechim;Norte;4307005;0,819632033;552218498;1180943702;393771;101699064;3507239;261694817;4;3;10;67687;227,7229792;526955,404;430,668;40111,8;4056185,316;101920
Erval Grande;Norte;4307203;0,704429535;4233028;4760103;0;800563;450939;0;;;1;837;17,83533118;3206,136;285,725;12624,56;66253,69;4993
Estação;Norte;4307559;0,78522873;8233176;6909918;0;787442;356835;0;1;;1;2636;59,41196418;23315,757;100,266;30428,31;187986,119;6108
Faxinalzinho;Norte;4308052;0,65679732;;;;;;;;;;344;17,91019793;2167,038;143,382;19810,51;51249,791;2673
Floriano Peixoto;Norte;4308250;0,693097537;;;;;;;;;;238;11,50640036;1373,646;168,428;21030,96;42503,561;1869
Gaurama;Norte;4308706;0,761056421;24525412;48502303;9592;2291238;302218;6526620;;;2;1400;28,29712965;14204,775;204,261;26448,62;157713,148;5923
Getúlio Vargas;Norte;4308904;0,751415148;100428712;295452667;118410;11477846;861217;29548484;1;1;3;5253;56,26627025;35122,279;286,566;24427,45;406643,727;16934
Ipiranga do Sul;Norte;4310462;0,832477863;5036037;32678915;15441;276817;193335;5091561;;;1;346;12,12297792;3011,462;157,882;38903,22;77417,413;1907
Itatiba do Sul;Norte;4310702;0,712933774;4034276;3648888;0;467900;1154822;0;1;;1;456;18,68150507;1458,763;212,242;11903,75;48876,796;3962
Jacutinga;Norte;4310900;0,778985475;10183587;7627538;0;814056;708244;0;1;;1;821;19,93909513;7577,952;179,296;33215,43;123694,267;3570
Marcelino Ramos;Norte;4311908;0,739408862;13387218;63877876;15822;1794429;1275213;4363112;1;;2;1073;21,44856132;4109,298;229,759;16759,71;85860,012;4977
Mariano Moro;Norte;4312005;0,750601861;1893694;3078510;0;374220;207490;0;;;1;366;22,19707609;2075,107;98,977;18948,68;42350,301;2169
Paulo Bento;Norte;4314134;0,787841467;;;;;;;;;;500;14,88231646;3907,782;148,364;31930,52;72929,315;2121
Ponte Preta;Norte;4314787;0,778613899;;;;;;;;;;198;16,83137585;1392,394;99,873;25408,59;44642,884;1640
Quatro Irmãos;Norte;4315313;0,796179868;;;;;;;;;;344;6,742889554;2966,312;267,986;43900,94;80865,527;1722
São Valentim;Norte;4319703;0,756517063;10708476;62699973;36583;1752281;212440;8092258;1;;1;626;23,01735544;3654,418;154,188;19766,14;72442,919;3677
Sertão;Norte;4320503;0,785091822;17953841;71420866;46313;2132989;396721;5065930;;;2;1088;13,77789711;6824,25;439,472;33851,13;212754,382;6289
Severiano de Almeida;Norte;4320602;0,774590362;9042406;28983283;4763;525213;313460;3936758;;;2;609;22,54203511;3234,998;167,598;19208,67;75201,942;3892
Três Arroios;Norte;4321634;0,858392309;3552208;2534039;0;340837;144963;0;;;1;389;18,96595819;2385,105;148,582;36016,37;104375,43;2920
Viadutos;Norte;4322905;0,745113009;24982280;52609666;9429;1337554;136221;2667339;;1;1;761;19,34341929;3655,421;268,36;22125,22;118237,158;5394
Igrejinha;ParanhanaEncosta da Serra;4310108;0,744895472;110717877;166075318;28424;24052889;584551;28645389;;1;4;23422;241,2612891;196331,3;135,861;39351,46;1326577,038;33923
Lindolfo Collor;ParanhanaEncosta da Serra;4311627;0,760533874;;;;;;;;;;3413;165,9240399;16175,096;32,991;40339,04;224567,421;5585
Morro Reuter;ParanhanaEncosta da Serra;4312476;0,773165353;;;;;;;;;;2554;66,88726609;9444,374;87,64;21059,79;126527,226;6059
Parobé;ParanhanaEncosta da Serra;4314050;0,665649559;103298218;193918389;30702;18894622;306414;61797798;;1;5;25175;486,6723119;89058,007;108,646;17549,45;958182,28;53952
Presidente Lucena;ParanhanaEncosta da Serra;4315149;0,760529407;;;;;;;;;;2089;52,82644762;7873,821;49,426;26447,81;70139,587;2691
Riozinho;ParanhanaEncosta da Serra;4315750;0,694464173;3439109;4671569;0;1103777;100950;0;;;1;2509;18,16254033;9241,309;239,559;22987,54;104156,536;4050
Rolante;ParanhanaEncosta da Serra;4316006;0,734574567;71910689;113204749;16955;8848015;136935;6271767;1;1;3;12379;67,63023573;35676,805;295,637;20532,85;420492,177;20483
Santa Maria do Herval;ParanhanaEncosta da Serra;4316956;0,752423384;3930787;5204083;0;806400;288488;0;;;1;2877;43,78286222;15310,136;139,598;27180,27;171099,829;6413
Taquara;ParanhanaEncosta da Serra;4321204;0,716600673;201172870;263670687;46568;29589249;150675;77111869;;1;5;19311;120,9859017;78030,183;457,855;17562,31;999225,248;57350
Três Coroas;ParanhanaEncosta da Serra;4321709;0,738145417;76892265;127692797;19701;15277000;834142;25871654;1;1;3;17705;133,1525986;99477,601;185,539;30393,46;776096,963;25166
;;;;;;;;;;;;;;;;;;;
Almirante Tamandaré do Sul;ParanhanaEncosta da Serra;4300471;0,792065258;;;;;;;;;;541;7,710047933;4732,222;265,368;49576,47;104408,04;1970
Camargo;ParanhanaEncosta da Serra;4303558;0,815601358;;;;;;;;;;850;19,22951568;12942,428;138,069;50832,25;137297,913;2635
Carazinho;ParanhanaEncosta da Serra;4304705;0,740755804;200223016;587043319;187832;39860753;1393688;113933819;;1;8;25052;90,10332405;239554,314;665,092;29458,55;1817651,235;62591
Casca;ParanhanaEncosta da Serra;4304903;0,827049344;76024731;182129052;90343;9098101;634690;32939332;1;1;2;4117;31,86431447;31920,564;271,746;34787,01;312839,586;8564
Ciríaco;ParanhanaEncosta da Serra;4305504;0,736821922;3883482;5488802;0;1164041;533961;0;;;1;693;17,71624074;3320,772;273,873;22899,61;115162,115;4909
Coqueiros do Sul;ParanhanaEncosta da Serra;4305850;0,782249856;33676;232011;0;35846;65466;0;;;1;322;8,804241714;3263,267;275,549;31359,8;78305,43;2495
Coxilha;ParanhanaEncosta da Serra;4305975;0,765524935;;;;;;;;;;759;6,655802303;3934,689;422,789;56637,82;163966,478;2920
David Canabarro;ParanhanaEncosta da Serra;4306304;0,796686646;6233972;43559228;7662;1758522;981211;5700053;;;2;812;26,68930313;3967,913;174,939;21989,07;106295,17;4622
Ernestina;ParanhanaEncosta da Serra;4307054;0,757211749;1697042;4099337;0;397817;281893;0;;;1;1059;13,0212798;3942,102;239,147;33382,99;106758,806;3031
Gentil;ParanhanaEncosta da Serra;4308854;0,7482952;;;;;;;;;;565;9,189518189;5444,403;184,014;51288,52;88062,383;1903
Marau;ParanhanaEncosta da Serra;4311809;0,807850423;190391181;472264988;230063;30955903;2928303;82111805;1;1;5;25846;58,68935777;162817,335;649,3;38177,71;1495878,85;39574
Mato Castelhano;ParanhanaEncosta da Serra;4312138;0,775977263;;;;;;;;;;372;10,72724603;3188,847;238,365;39943,61;102215,704;2600
Muliterno;ParanhanaEncosta da Serra;4312625;0,761124113;;;;;;;;;;317;16,44890761;1181,262;111,132;21975,6;41424,014;1882
Nova Alvorada;ParanhanaEncosta da Serra;4312757;0,802544132;2992439;31105648;7248;1866649;133058;2423136;;;2;1115;21,92659445;15896,421;149,362;34034,97;114902,064;3290
Passo Fundo;ParanhanaEncosta da Serra;4314100;0,770979147;768318807;2525618852;544977;200094732;8949733;505363501;2;4;22;95298;240,9368654;960402,831;783,421;36928,93;7180165,043;195455
Pontão;ParanhanaEncosta da Serra;4314779;0,764170085;756304;1911209;233;260883;182826;0;;;1;660;7,692109952;6111,443;505,713;47060,23;187393,831;3918
Santo Antônio do Palma;ParanhanaEncosta da Serra;4317558;0,797648871;;;;;;;;;;596;17,05077165;2915,196;126,094;28568,72;62851,186;2280
Santo Antônio do Planalto;ParanhanaEncosta da Serra;4317756;0,737149119;46203;243491;0;353083;11030;0;;;1;396;9,914471097;3127,578;203,44;41961,52;86147,011;2199
São Domingos do Sul;ParanhanaEncosta da Serra;4318051;0,777260205;2608048;1856183;0;406785;380300;0;;;1;1117;37,47846793;1743,821;78,952;15714,97;47867,797;2889
Vanini;ParanhanaEncosta da Serra;4322558;0,763865872;5981781;34158062;15686;531346;56601;2585534;;;1;325;31,10693201;1296,028;64,873;22764,87;47146,054;2096
Vila Maria;ParanhanaEncosta da Serra;4323408;0,834536825;4361277;48143880;20619;1283937;181068;4063171;;;2;1977;23,363224;16313,308;181,439;43667,07;191130,762;4544
Barra Funda;Rio da Várzea;4301958;0,80964886;760313;12074584;0;388507;218041;0;;;1;1774;39,9946696;8802,739;60,033;38874,72;96253,815;2489
Boa Vista das Missões;Rio da Várzea;4302154;0,764949049;;;;;;;;;;499;10,87185278;3841,497;194,815;53166,61;115531,035;2079
Cerro Grande;Rio da Várzea;4305157;0,698899152;;;;;;;;;;305;32,7487132;944,276;73,438;17348,87;42764,955;2563
Chapada;Rio da Várzea;4305306;0,792060372;22086961;132168185;174806;4444136;408379;6864991;;;2;2564;13,65563417;19847,536;684,04;35832,64;345104,118;9433
Constantina;Rio da Várzea;4305801;0,737908024;40154759;147809494;74796;6764447;1258809;15691392;1;1;2;2569;48,34506574;14463,484;202,999;22061,25;222311,211;10290
Engenho Velho;Rio da Várzea;4306924;0,709454798;;;;;;;;;;238;20,63463078;1573,465;71,191;27502,11;40208,086;1606
Jaboticaba;Rio da Várzea;4310850;0,66010374;;;;;;;;;;414;31,56505509;2309,483;128,053;17115,57;71132,317;3782
Lajeado do Bugre;Rio da Várzea;4311429;0,637534222;;;;;;;;;;291;36,63904141;882,477;67,933;14935,99;38519,91;2433
Liberato Salzano;Rio da Várzea;4311601;0,71857479;3965374;5104808;0;779343;833693;0;;;1;681;23,11635122;3149,276;245,627;15496,54;90298,347;5730
Nova Boa Vista;Rio da Várzea;4312955;0,799830812;;;;;;;;;;491;20,60739829;3609,156;94,238;29747,51;58840,565;2137
Novo Barreiro;Rio da Várzea;4313490;0,752773411;;;;;;;;;;627;32,48828722;2971,831;123,583;16779,26;69432,595;3956
Novo Xingu;Rio da Várzea;4313466;0,801333191;;;;;;;;;;290;21,55354262;1320,518;80,59;22804,59;41071,071;1750
Palmeira das Missões;Rio da Várzea;4313706;0,742333539;126778393;372163634;134684;23955335;2244929;42873760;1;1;3;7931;24,02443234;73584,37;1419,43;29307,95;1029295,215;35238
Ronda Alta;Rio da Várzea;4316105;0,757612643;19817593;128582484;79412;4388781;255893;11223691;;;3;1687;24,45486283;13543,559;419,344;21477,99;227881,438;10263
Rondinha;Rio da Várzea;4316204;0,816442824;14446348;36675155;17120;1104472;501313;5599242;;;2;791;21,49019857;4855,913;252,208;23472,81;131353,865;5431
Sagrada Família;Rio da Várzea;4316428;0,71340464;;;;;;;;;;460;33,6856095;1808,241;78,253;17529,88;46892,438;2631
São José das Missões;Rio da Várzea;4318457;0,692309812;;;;;;;;;;335;27,36820638;1675,725;98,07;16448,82;45415,182;2710
São Pedro das Missões;Rio da Várzea;4319364;0,704815345;;;;;;;;;;369;24,0105046;900,066;79,965;20475,14;40315,557;1961
Sarandi;Rio da Várzea;4320107;0,79903427;97030795;294779954;116087;15336712;1497096;74563695;4;1;3;10867;61,99718722;58968,002;353,387;26926,66;609404,17;22074
Três Palmeiras;Rio da Várzea;4321857;0,743141067;4790675;48850925;24408;1335190;234030;4011253;;;2;729;24,39659134;3998,642;180,599;21354,09;95815,819;4627
Antônio Prado;Serra;4300802;0,771649717;114488942;178109745;29013;14516547;349063;30486415;;1;3;5296;36,81925798;45659,598;347,617;27888,64;369886,981;12754
Bento Gonçalves;Serra;4302105;0,832168449;993739459;2705373030;295893;254363175;7448983;856861509;;3;17;70093;392,2465064;727693,737;274,07;42528,93;4737042,846;112343
Boa Vista do Sul;Serra;4302253;0,76749671;;;;;;;;;;623;30,13366517;3664,638;93,218;20041,17;57317,746;3074
Carlos Barbosa;Serra;4304804;0,881894948;209959840;324084945;28936;29663386;249646;65323279;1;1;4;16008;114,1081651;314758,589;228,669;54211,94;1462421,261;26407
Caxias do Sul;Serra;4305108;0,809885389;2799340081;7815214088;1461384;676167186;4288036;2114172281;3;12;65;289551;275,1992342;3336279,833;1644,296;45883,07;21349577,99;466945
Coronel Pilar;Serra;4305934;0,765997802;;;;;;;;;;188;16,20719414;889,718;105,447;18547,71;32532,681;1576
Cotiporã;Serra;4305959;0,779037081;19987974;2147862;0;1840683;157630;41011;;;1;1011;22,43364757;5022,457;172,375;18543,27;74525,392;3896
Fagundes Varela;Serra;4307864;0,795151445;13161881;22194978;4028;1275329;11289;5709715;;;1;692;19,34547079;3589,43;134,295;22550,9;60639,367;2612
Farroupilha;Serra;4307906;0,799865736;483125760;609131620;176912;74559712;3388147;190629704;;1;8;39617;182,224812;448097,33;360,39;35838,31;2417831,915;67983
Flores da Cunha;Serra;4308201;0,802924401;258738364;384181345;46346;39729207;501592;105769817;;1;4;14759;102,3653146;196466,545;273,452;38433,7;1104546,204;28627
Garibaldi;Serra;4308607;0,847560812;406825878;468532693;42423;38178581;1900246;84278477;;1;6;25296;186,5313141;253871,398;169,237;44781,54;1458893,146;31924
Guabiju;Serra;4309258;0,815348407;;;;;;;;;;309;10,57664839;1881,85;147,022;28380,77;46118,744;1514
Guaporé;Serra;4309407;0,800921203;172637731;238341520;43575;17124199;453435;59154365;;1;3;12812;78,74782889;54211,554;297,659;24569,06;593146,333;24376
Montauri;Serra;4312351;0,773536214;;;;;;;;;;353;18,39691029;3428,087;82,079;30891,66;48438,119;1538
Monte Belo do Sul;Serra;4312385;0,803100866;33041727;17047975;3210;1229502;29743;4171572;;;1;1124;37,67349636;7728,744;69,598;36872,44;100293,03;2763
Nova Araçá;Serra;4312807;0,831286409;9332282;3694661;0;1468451;227242;0;;;1;4130;56,30220604;17202,089;74,704;34034,77;145975,134;4447
Nova Bassano;Serra;4312906;0,865668832;65029376;127236023;25398;9356017;731288;27729099;;1;2;8933;42,5828525;63826,59;211,611;74481,97;695885,023;8767
Nova Pádua;Serra;4313086;0,794828411;17461974;32008407;5142;1847485;371410;17393117;;;2;380;23,83812162;2697,478;103,238;19149,82;48736,282;2395
Nova Prata;Serra;4313300;0,809293107;208246757;363032944;51834;30812159;2424253;56243543;;1;4;11807;91,44595216;108793,369;258,743;34959,24;856326,61;24559
Nova Roma do Sul;Serra;4313359;0,80917395;21827347;26897568;1831;1396692;363045;3957187;;;2;795;23,11913803;7473,652;149,054;26517,23;93340,632;3543
Paraí;Serra;4314001;0,831662022;17170683;34852327;16437;4998923;1312384;10305420;;;2;3447;57,25178269;25751,049;121,446;29478,99;212337,18;7098
Pinto Bandeira;Serra;4314548;0,698757894;;;;;;;;;;233;25,12562814;1615,732;105,072;12214,43;32746,879;2828
Protásio Alves;Serra;4315172;0,782535002;;;;;;;;;;542;11,59621561;1317,551;172,815;22004,13;45064,455;2123
Santa Tereza;Serra;4317251;0,755013719;;;;;;;;;;308;23,39948091;1106,046;73,976;17508,91;31200,885;1642
São Jorge;Serra;4318440;0,80762606;6175308;41807836;34114;1703427;337190;4076295;;;2;634;23,28634839;2356,905;118,052;22175,09;63199,008;2553
São Marcos;Serra;4319000;0,789586923;175017844;234251303;32145;17734392;174802;49435827;;1;3;9294;79,91742503;82381,119;256,252;25995,51;546529,651;21057
São Valentim do Sul;Serra;4319711;0,799190905;;;;;;;;;;474;23,52558543;2143,725;92,24;18930,33;42574,302;2129
Serafina Corrêa;Serra;4320404;0,807242631;97790955;202453881;28550;13035942;1314001;20295198;;1;3;8240;91,21586448;44067,58;163,283;31075,51;478593,945;15075
União da Serra;Serra;4322350;0,797149389;;;;;;;;;;292;10,81770225;839,689;130,989;30199,1;44000,094;1453
Veranópolis;Serra;4322806;0,845367136;244652816;341325168;36264;25979692;675273;83107635;;1;4;11527;80,98374933;118449,603;289,342;35845,88;869334,306;23672
Vila Flores;Serra;4323309;0,796718532;5497696;3346366;0;346981;226550;0;;;1;1585;30,0531003;19871,341;107,909;41659,84;139185,517;3343
Vista Alegre do Prata;Serra;4323606;0,827612334;;;;;;;;;;229;13,07331953;3475,002;119,327;26784,36;43229,95;1453
Amaral Ferrador;Sul;4300638;0,611060591;9250783;5620031;0;1274392;273383;2203;;;1;485;12,76120184;1660,281;506,457;12241,17;81930,13;6288
Arroio do Padre;Sul;4301073;0,686659136;;;;;;;;;;339;22,15304423;1287,991;124,317;14068,09;40192,523;2639
Arroio Grande;Sul;4301305;0,659069005;34161596;134937921;40295;12094111;262648;9186228;;1;4;3954;7,276027144;13205,517;2513,597;23027,78;437044,281;18671
Canguçu;Sul;4304507;0,63195603;198934138;279713803;63467;26140867;962140;31294899;1;1;4;6953;15,2041263;37109,646;3525,293;14020,54;777607,314;54928
Capão do Leão;Sul;4304663;0,597999761;28551155;47911984;3340;7358948;1619430;9303154;;;4;5941;31,23484001;27512,369;785,373;14790,67;373553,071;24782
Cerrito;Sul;4305124;0,629499277;10107405;34525197;16336;2337337;164845;1537709;;;2;804;13,93184399;2178,961;451,699;11406,58;74405,123;6353
Chuí;Sul;4305439;0,721462485;8719552;22693146;3852;3709695;196909;1517829;;;3;1865;30,17990442;13408,865;202,552;21032,81;131854,711;5610
Herval;Sul;4307104;0,627625435;4287235;10494247;0;1468936;95604;0;;;1;978;3,826860041;2639,62;1757,838;12168,43;84801,804;6523
Jaguarão;Sul;4311007;0,688316251;78056383;157627957;43611;13965620;2266041;9020552;;1;3;5497;13,4736383;27388,04;2054,382;18182,3;517868,282;28133
Morro Redondo;Sul;4312450;0,659157124;;;;;;;;;;2838;25,61262237;8308,744;244,645;12327,53;79981,046;6174
Pedras Altas;Sul;4314175;0,703981329;;;;;;;;;;548;1,574739123;1346,609;1377,371;27508,52;61233,976;2024
Pedro Osório;Sul;4314209;0,594576724;17834644;40853325;8197;2808467;240299;4444617;;;2;1526;12,81560606;4423,544;608,789;12333,77;98966,14;8078
Pelotas;Sul;4314407;0,682113165;1315455659;2550194691;420821;222282598;14560598;642442418;1;6;28;118640;205,1365022;549274,338;1610,084;17353,15;5920548,003;342550
Pinheiro Machado;Sul;4314506;0,633427009;28484256;84455110;20340;8499864;1451695;5519235;;1;2;2067;5,592217127;13385,936;2249,555;16077,6;209764,438;12509
Piratini;Sul;4314605;0,631140517;41177731;59512615;16447;7953164;233655;7876652;;;3;3956;5,618291782;11686,383;3539,688;13536,16;279034,364;19627
Rio Grande;Sul;4315602;0,728412985;718514200;1167132376;2671760;156575528;7128545;449194623;;4;15;107338;73,79862574;1769778,517;2709,522;39556,92;8155094,535;209223
Santana da Boa Vista;Sul;4317004;0,627456441;9716414;8787849;441;2216761;553117;60386;;;2;924;5,773551755;3636,37;1420,616;13538,64;114469,179;8038
Santa Vitória do Palmar;Sul;4317301;0,675566632;87014879;198721672;50835;14881401;1653778;16734018;;1;4;8288;5,849148599;29508,156;5244,353;20115,97;636026,737;31866
São José do Norte;Sul;4318507;0,620234926;57462018;56002146;14366;8716937;634488;6320397;;1;3;5157;23,17494616;14790,325;1118,104;10030,56;268026,578;25870
São Lourenço do Sul;Sul;4318804;0,678594807;138160976;252808633;41880;25414528;1388010;40622750;1;1;4;7562;21,14162932;50788,034;2036,125;17467,19;777254,873;43430
Tavares;Sul;4321352;0,655615856;6708725;7607712;0;2251758;125345;0;;;1;860;8,921789124;2505,014;604,251;12464,36;69040,1;5653
Turuçu;Sul;4322327;0,64395701;;;;;;;;;;621;14,00437637;2854,457;253,635;19888,68;71758,349;3593
Alto Feliz;Vale do Caí;4300570;0,761174873;;;;;;;;;;712;37,04545742;3994,099;79,173;19199,66;58270,962;2829
Barão;Vale do Caí;4301651;0,823313114;11355358;8992688;0;468707;547061;0;;;1;2562;47,23346829;16859,441;124,488;32233,73;193660,243;5956
Bom Princípio;Vale do Caí;4302352;0,787422714;48151072;82071662;15457;11372257;862218;19516603;;1;3;7394;139,18015;47854,256;88,504;29324,04;370773,126;12662
Brochier;Vale do Caí;4302659;0,717990192;13424134;35581803;2672;2268139;46519;2254292;;;1;1225;44,5172769;3159,129;106,79;13981,72;68538,405;4642
Capela de Santana;Vale do Caí;4304689;0,656546583;6545921;6756622;258;949495;338156;65476;;;2;2754;65,55976403;14997,957;183,756;12388,66;152665,471;11815
Feliz;Vale do Caí;4308102;0,765990456;100878705;155571305;21328;12162753;714645;28030064;;1;3;5448;132,3672815;34959,744;95,371;24097,33;313072,452;13296
Harmonia;Vale do Caí;4309555;0,782276603;11384263;3801743;0;1350225;195458;0;;;1;1615;98,23283662;10155,179;44,761;21933,23;99072,381;4730
Linha Nova;Vale do Caí;4311643;0,804898475;;;;;;;;;;316;25,93632812;871,997;63,733;23421,89;39629,84;1657
Maratá;Vale do Caí;4311791;0,732898701;7270763;1729031;0;452299;42189;0;;;1;889;31,36279087;4086,223;81,179;32094,57;84697,557;2510
Montenegro;Vale do Caí;4312401;0,77541432;281182595;440801005;141692;47111843;1172741;82991389;1;1;7;26675;143,0030282;447040,503;424,012;41998,9;2624259,421;62587
Pareci Novo;Vale do Caí;4314035;0,741445597;2638120;1103806;199;606544;18559;0;;;1;1174;63,21638853;4599,114;57,406;18169,76;66973,749;3930
Salvador do Sul;Vale do Caí;4316501;0,795811964;36136553;90026560;8610;4997717;697194;5093586;;;2;4871;70,53929278;29272,804;98,555;35476,01;254788,674;6916
São José do Hortêncio;Vale do Caí;4318481;0,739394718;5661650;3567307;0;399447;2422;0;;;1;1549;66,64794971;6604,131;64,113;22571,22;98703,931;4219
São José do Sul;Vale do Caí;4318614;0,762326756;;;;;;;;;;453;36,60602365;2068,549;59,034;20476,57;45417,036;2072
São Pedro da Serra;Vale do Caí;4319356;0,741376387;;;;;;;;;;1193;96,7586967;3604,544;35,387;16176,71;56974,376;3473
São Sebastião do Caí;Vale do Caí;4319505;0,712226109;117915585;168995555;42568;13193682;326963;41289105;;1;4;14685;201,6691345;62338,99;111,435;22778,45;526820,031;23449
São Vendelino;Vale do Caí;4319752;0,814235689;5862652;1787131;0;493734;370581;61;;;1;1453;63,14083585;5838,526;32,087;34478,71;71095,103;2145
